,precision,recall,f1-score,support
Abra,1.0,1.0,1.0,5.0
Aerodactyl,1.0,0.8571428571428571,0.9230769230769231,7.0
Alakazam,0.6666666666666666,1.0,0.8,4.0
Alolan Sandslash,0.8888888888888888,1.0,0.9411764705882353,8.0
Arbok,1.0,1.0,1.0,9.0
Arcanine,1.0,1.0,1.0,6.0
Articuno,1.0,1.0,1.0,5.0
Beedrill,1.0,1.0,1.0,6.0
Bellsprout,1.0,1.0,1.0,3.0
Blastoise,1.0,1.0,1.0,11.0
Bulbasaur,1.0,1.0,1.0,9.0
Butterfree,1.0,1.0,1.0,5.0
Caterpie,1.0,1.0,1.0,8.0
Chansey,1.0,1.0,1.0,8.0
Charizard,1.0,0.75,0.8571428571428571,4.0
Charmander,0.75,1.0,0.8571428571428571,6.0
Charmeleon,1.0,0.9166666666666666,0.9565217391304348,12.0
Clefable,1.0,1.0,1.0,5.0
Clefairy,1.0,1.0,1.0,10.0
Cloyster,1.0,0.9,0.9473684210526315,10.0
Cubone,0.875,0.7,0.7777777777777778,10.0
Dewgong,1.0,1.0,1.0,8.0
Diglett,1.0,1.0,1.0,9.0
Ditto,1.0,1.0,1.0,10.0
Dodrio,1.0,0.8888888888888888,0.9411764705882353,9.0
Doduo,1.0,1.0,1.0,7.0
Dragonair,1.0,1.0,1.0,8.0
Dragonite,1.0,1.0,1.0,9.0
Dratini,1.0,1.0,1.0,6.0
Drowzee,1.0,0.8571428571428571,0.9230769230769231,14.0
Dugtrio,1.0,0.9,0.9473684210526315,10.0
Eevee,1.0,0.8571428571428571,0.9230769230769231,7.0
Ekans,1.0,1.0,1.0,8.0
Electabuzz,1.0,1.0,1.0,8.0
Electrode,1.0,1.0,1.0,10.0
Exeggcute,0.9090909090909091,1.0,0.9523809523809523,10.0
Exeggutor,1.0,1.0,1.0,12.0
Farfetchd,1.0,1.0,1.0,7.0
Fearow,0.8333333333333334,1.0,0.9090909090909091,5.0
Flareon,0.9090909090909091,1.0,0.9523809523809523,10.0
Gastly,1.0,1.0,1.0,8.0
Gengar,1.0,1.0,1.0,9.0
Geodude,1.0,1.0,1.0,5.0
Gloom,1.0,1.0,1.0,13.0
Golbat,1.0,1.0,1.0,11.0
Goldeen,1.0,1.0,1.0,6.0
Golduck,1.0,0.9090909090909091,0.9523809523809523,11.0
Golem,1.0,1.0,1.0,12.0
Graveler,1.0,0.9,0.9473684210526315,10.0
Grimer,0.9090909090909091,0.8333333333333334,0.8695652173913043,12.0
Growlithe,1.0,1.0,1.0,9.0
Gyarados,0.8823529411764706,1.0,0.9375,15.0
Haunter,1.0,0.9230769230769231,0.96,13.0
Hitmonchan,1.0,1.0,1.0,7.0
Hitmonlee,1.0,1.0,1.0,7.0
Horsea,0.9090909090909091,1.0,0.9523809523809523,10.0
Hypno,0.9230769230769231,1.0,0.96,12.0
Ivysaur,1.0,0.8888888888888888,0.9411764705882353,9.0
Jigglypuff,1.0,1.0,1.0,11.0
Jolteon,1.0,1.0,1.0,9.0
Jynx,0.9166666666666666,1.0,0.9565217391304348,11.0
Kabuto,1.0,1.0,1.0,6.0
Kabutops,1.0,1.0,1.0,11.0
Kadabra,0.875,0.7777777777777778,0.8235294117647058,9.0
Kakuna,1.0,1.0,1.0,12.0
Kangaskhan,1.0,1.0,1.0,11.0
