,precision,recall,f1-score,support
Abra,1.0,1.0,1.0,5.0
Aerodactyl,1.0,1.0,1.0,7.0
Alakazam,0.5714285714285714,1.0,0.7272727272727273,4.0
Alolan Sandslash,1.0,1.0,1.0,8.0
Arbok,1.0,1.0,1.0,9.0
Arcanine,1.0,1.0,1.0,6.0
Articuno,1.0,1.0,1.0,5.0
Beedrill,1.0,1.0,1.0,6.0
Bellsprout,1.0,1.0,1.0,3.0
Blastoise,0.9090909090909091,0.9090909090909091,0.9090909090909091,11.0
Bulbasaur,1.0,1.0,1.0,9.0
Butterfree,1.0,1.0,1.0,5.0
Caterpie,1.0,1.0,1.0,8.0
Chansey,1.0,1.0,1.0,8.0
Charizard,0.75,0.75,0.75,4.0
Charmander,1.0,1.0,1.0,6.0
Charmeleon,1.0,1.0,1.0,12.0
Clefable,1.0,1.0,1.0,5.0
Clefairy,1.0,1.0,1.0,10.0
Cloyster,0.9090909090909091,1.0,0.9523809523809523,10.0
Cubone,0.9,0.9,0.9,10.0
Dewgong,1.0,1.0,1.0,8.0
Diglett,1.0,1.0,1.0,9.0
Ditto,1.0,1.0,1.0,10.0
Dodrio,1.0,1.0,1.0,9.0
Doduo,1.0,1.0,1.0,7.0
Dragonair,1.0,1.0,1.0,8.0
Dragonite,0.8888888888888888,0.8888888888888888,0.8888888888888888,9.0
Dratini,1.0,1.0,1.0,6.0
Drowzee,1.0,0.9285714285714286,0.9629629629629629,14.0
Dugtrio,1.0,1.0,1.0,10.0
Eevee,1.0,1.0,1.0,7.0
Ekans,1.0,1.0,1.0,8.0
Electabuzz,1.0,1.0,1.0,8.0
Electrode,1.0,1.0,1.0,10.0
Exeggcute,1.0,1.0,1.0,10.0
Exeggutor,1.0,1.0,1.0,12.0
Farfetchd,1.0,1.0,1.0,7.0
Fearow,0.8333333333333334,1.0,0.9090909090909091,5.0
Flareon,1.0,1.0,1.0,10.0
Gastly,1.0,1.0,1.0,8.0
Gengar,1.0,1.0,1.0,9.0
Geodude,1.0,0.8,0.8888888888888888,5.0
Gloom,1.0,0.9230769230769231,0.96,13.0
Golbat,1.0,0.9090909090909091,0.9523809523809523,11.0
Goldeen,1.0,1.0,1.0,6.0
Golduck,1.0,0.8181818181818182,0.9,11.0
Golem,0.9230769230769231,1.0,0.96,12.0
Graveler,0.9090909090909091,1.0,0.9523809523809523,10.0
Grimer,0.9166666666666666,0.9166666666666666,0.9166666666666666,12.0
Growlithe,1.0,1.0,1.0,9.0
Gyarados,0.9375,1.0,0.967741935483871,15.0
Haunter,1.0,0.9230769230769231,0.96,13.0
Hitmonchan,1.0,1.0,1.0,7.0
Hitmonlee,1.0,1.0,1.0,7.0
Horsea,0.9090909090909091,1.0,0.9523809523809523,10.0
Hypno,1.0,1.0,1.0,12.0
Ivysaur,1.0,1.0,1.0,9.0
Jigglypuff,1.0,1.0,1.0,11.0
Jolteon,1.0,1.0,1.0,9.0
Jynx,1.0,1.0,1.0,11.0
Kabuto,1.0,1.0,1.0,6.0
Kabutops,1.0,0.9090909090909091,0.9523809523809523,11.0
Kadabra,1.0,0.6666666666666666,0.8,9.0
Kakuna,1.0,1.0,1.0,12.0
Kangaskhan,1.0,1.0,1.0,11.0
Kingler,0.6666666666666666,0.8888888888888888,0.7619047619047619,9.0
Koffing,1.0,0.8888888888888888,0.9411764705882353,9.0
Krabby,0.9090909090909091,0.7142857142857143,0.8,14.0
Lapras,0.9,0.9,0.9,10.0
Lickitung,0.9090909090909091,1.0,0.9523809523809523,10.0
Machamp,0.8571428571428571,1.0,0.9230769230769231,6.0
Machoke,1.0,1.0,1.0,9.0
Machop,1.0,1.0,1.0,8.0
Magikarp,1.0,1.0,1.0,11.0
Magmar,0.8888888888888888,1.0,0.9411764705882353,8.0
Magnemite,1.0,1.0,1.0,11.0
Magneton,1.0,1.0,1.0,10.0
Mankey,0.875,0.7777777777777778,0.8235294117647058,9.0
Marowak,0.75,0.75,0.75,4.0
Meowth,1.0,1.0,1.0,6.0
Metapod,1.0,1.0,1.0,6.0
Mew,1.0,0.8333333333333334,0.9090909090909091,6.0
Mewtwo,0.9090909090909091,1.0,0.9523809523809523,10.0
Moltres,0.9,1.0,0.9473684210526315,9.0
MrMime,1.0,1.0,1.0,12.0
Muk,0.9,0.9,0.9,10.0
Nidoking,1.0,0.8888888888888888,0.9411764705882353,9.0
Nidoqueen,0.9230769230769231,1.0,0.96,12.0
Nidorina,1.0,1.0,1.0,10.0
Nidorino,1.0,1.0,1.0,14.0
Ninetales,1.0,1.0,1.0,7.0
Oddish,1.0,1.0,1.0,14.0
Omanyte,1.0,1.0,1.0,12.0
Omastar,1.0,1.0,1.0,7.0
Onix,1.0,1.0,1.0,7.0
Paras,0.875,1.0,0.9333333333333333,7.0
Parasect,1.0,0.8,0.8888888888888888,5.0
Persian,1.0,1.0,1.0,6.0
Pidgeot,1.0,0.8,0.8888888888888888,5.0
Pidgeotto,0.5,0.5,0.5,2.0
Pidgey,0.8571428571428571,1.0,0.9230769230769231,12.0
Pikachu,1.0,1.0,1.0,6.0
Pinsir,1.0,1.0,1.0,8.0
Poliwag,1.0,1.0,1.0,8.0
Poliwhirl,1.0,1.0,1.0,10.0
Poliwrath,1.0,1.0,1.0,7.0
Ponyta,1.0,1.0,1.0,9.0
Porygon,1.0,1.0,1.0,19.0
Primeape,0.8823529411764706,0.9375,0.9090909090909091,16.0
Psyduck,1.0,0.9090909090909091,0.9523809523809523,11.0
Raichu,0.9285714285714286,1.0,0.9629629629629629,13.0
Rapidash,1.0,0.9,0.9473684210526315,10.0
Raticate,1.0,0.5,0.6666666666666666,4.0
Rattata,1.0,1.0,1.0,13.0
Rhydon,0.75,1.0,0.8571428571428571,3.0
Rhyhorn,0.8888888888888888,1.0,0.9411764705882353,8.0
Sandshrew,0.9285714285714286,1.0,0.9629629629629629,13.0
Sandslash,1.0,1.0,1.0,8.0
Scyther,1.0,1.0,1.0,9.0
Seadra,1.0,0.8666666666666667,0.9285714285714286,15.0
Seaking,1.0,1.0,1.0,7.0
Seel,1.0,1.0,1.0,9.0
Shellder,1.0,1.0,1.0,12.0
Slowbro,1.0,0.9,0.9473684210526315,10.0
Slowpoke,1.0,1.0,1.0,4.0
Snorlax,0.9285714285714286,1.0,0.9629629629629629,13.0
Spearow,1.0,0.9285714285714286,0.9629629629629629,14.0
Squirtle,1.0,0.6666666666666666,0.8,3.0
Starmie,0.875,0.875,0.875,8.0
Staryu,1.0,1.0,1.0,4.0
Tangela,1.0,1.0,1.0,12.0
Tauros,1.0,0.7777777777777778,0.875,9.0
Tentacool,1.0,1.0,1.0,9.0
Tentacruel,1.0,1.0,1.0,11.0
Vaporeon,1.0,1.0,1.0,6.0
Venomoth,0.9166666666666666,1.0,0.9565217391304348,11.0
Venonat,1.0,1.0,1.0,13.0
Venusaur,0.9411764705882353,1.0,0.9696969696969697,16.0
Victreebel,1.0,1.0,1.0,12.0
